scene_name,experiment,path_condition,sim_time_condition,n_participants,mean_judgment_time,sd_judgment_time,mean_judgment_time_sec,mean_stimulus_time,mean_total_gaze_time,mean_accuracy
high_nocol_nosp_1,exp1,no_straight_path,high,12,1366.1666666667288,437.39036721597,1.3661666666667287,5.487628583333334,5625.916666666697,1.0
high_nocol_nosp_2,exp1,no_straight_path,high,12,2334.083333333349,1934.1255227825122,2.3340833333333486,6.211659333333333,6336.499999999939,0.9166666666666666
high_nocol_nosp_3,exp1,no_straight_path,high,12,1789.8333333334097,1220.1864114913797,1.7898333333334098,4.933637,5070.999999999988,1.0
high_nocol_nosp_4,exp1,no_straight_path,high,12,2312.1666666666792,1435.5343530503956,2.312166666666679,5.802911333333333,5941.166666666683,1.0
high_nocol_yessp_1,exp1,straight_path,high,12,1235.166666666809,514.8024922827592,1.235166666666809,5.8135778333333334,5953.08333333324,1.0
high_nocol_yessp_2,exp1,straight_path,high,12,1338.9166666666151,454.52161831436763,1.3389166666666152,5.813672916666667,5953.750000000043,1.0
high_nocol_yessp_3,exp1,straight_path,high,12,1510.666666666689,1045.7436965088307,1.5106666666666893,7.2111824166666665,7352.333333333391,1.0
high_nocol_yessp_4,exp1,straight_path,high,12,1762.0833333334456,1361.605433325078,1.7620833333334456,5.813008750000001,5954.000000000094,0.9166666666666666
high_yescol_nosp_1,exp1,no_straight_path,high,12,2151.249999999964,1218.540790901535,2.151249999999964,5.179156333333333,5315.999999999945,0.9166666666666666
high_yescol_nosp_2,exp1,no_straight_path,high,12,1958.083333333311,1266.25894654177,1.9580833333333107,5.019976083333334,5159.916666666674,0.8333333333333334
high_yescol_nosp_3,exp1,no_straight_path,high,12,2329.9166666665956,1807.970356672397,2.329916666666596,5.73531875,5872.166666666621,0.75
high_yescol_nosp_4,exp1,no_straight_path,high,12,2354.50000000003,1452.4461185437178,2.35450000000003,4.936462416666667,5074.166666666732,0.6666666666666666
high_yescol_yessp_1,exp1,straight_path,high,12,1170.7499999999698,397.5390489682178,1.1707499999999698,4.922492083333333,5064.58333333335,0.9166666666666666
high_yescol_yessp_2,exp1,straight_path,high,12,1183.5000000000377,577.1354811795786,1.1835000000000377,5.649874916666666,5793.500000000061,1.0
high_yescol_yessp_3,exp1,straight_path,high,12,1261.58333333332,380.1976658943325,1.26158333333332,5.789695333333333,5881.250000000023,1.0
high_yescol_yessp_4,exp1,straight_path,high,12,1164.2499999999482,457.49557871685363,1.1642499999999483,6.764879833333333,6895.66666666669,1.0
low_nocol_nosp_1,exp1,no_straight_path,low,12,1687.4166666666117,748.8000653570158,1.6874166666666117,1.7830994166666667,1925.500000000009,1.0
low_nocol_nosp_2,exp1,no_straight_path,low,12,1872.7500000000343,2328.34202130652,1.8727500000000343,1.5393344166666667,1679.1666666667027,1.0
low_nocol_nosp_3,exp1,no_straight_path,low,12,1244.6666666666413,405.5690353370533,1.2446666666666413,1.5148236666666666,1648.9166666666506,1.0
low_nocol_nosp_4,exp1,no_straight_path,low,12,1249.1666666666342,267.97178729835815,1.2491666666666343,2.025012,2165.083333333314,1.0
low_nocol_yessp_1,exp1,straight_path,low,11,1220.9999999999623,457.4848631375788,1.2209999999999623,1.7001164545454548,1841.0000000001166,1.0
low_nocol_yessp_2,exp1,straight_path,low,12,1262.916666666598,357.8804925804854,1.262916666666598,1.0045764166666666,1136.3333333332928,0.9166666666666666
low_nocol_yessp_3,exp1,straight_path,low,12,1251.5833333333528,366.7254257326366,1.2515833333333528,1.3657848333333333,1490.9999999999475,1.0
low_nocol_yessp_4,exp1,straight_path,low,12,1148.4999999999654,297.102828847374,1.1484999999999654,1.1118200833333334,1240.2499999999416,1.0
low_yescol_nosp_1,exp1,no_straight_path,low,12,1345.9166666666108,556.3964345898248,1.3459166666666107,1.9821061666666668,2120.91666666664,1.0
low_yescol_nosp_2,exp1,no_straight_path,low,12,1731.5833333333046,1279.1023456338214,1.7315833333333046,2.11243825,2243.1666666666574,0.9166666666666666
low_yescol_nosp_3,exp1,no_straight_path,low,12,1705.833333333203,1197.569192028967,1.705833333333203,1.9740983333333333,2114.7500000000528,0.9166666666666666
low_yescol_nosp_4,exp1,no_straight_path,low,12,1287.0833333332475,472.9511714817933,1.2870833333332474,1.004078,1141.9166666666977,0.9166666666666666
low_yescol_yessp_1,exp1,straight_path,low,12,1092.4166666667313,245.47892275132213,1.0924166666667314,1.6572026666666666,1789.166666666683,1.0
low_yescol_yessp_2,exp1,straight_path,low,12,1172.2500000000857,417.6338381013494,1.172250000000086,1.2887085,1426.0000000000637,1.0
low_yescol_yessp_3,exp1,straight_path,low,12,1178.3333333333724,458.55094558505334,1.1783333333333725,1.4408727499999998,1561.083333333322,0.9166666666666666
low_yescol_yessp_4,exp1,straight_path,low,12,1203.9166666666338,420.6083166802769,1.2039166666666337,0.5045703333333333,645.5000000000315,1.0
med_nocol_nosp_1,exp1,no_straight_path,med,11,1344.0000000000302,379.5729178959041,1.3440000000000303,4.4437893636363635,4585.818181818173,0.9090909090909091
med_nocol_nosp_2,exp1,no_straight_path,med,12,1322.0833333333246,506.2966177563169,1.3220833333333246,3.2829529999999996,3423.666666666653,1.0
med_nocol_nosp_3,exp1,no_straight_path,med,12,2016.9166666667497,1112.1946737978456,2.01691666666675,4.18881075,4324.666666666606,0.9166666666666666
med_nocol_nosp_4,exp1,no_straight_path,med,12,2306.0833333333853,2558.920704954024,2.3060833333333854,4.485282416666666,4626.5833333333385,0.9166666666666666
med_nocol_yessp_1,exp1,straight_path,med,12,1202.8333333332266,410.3643244579325,1.2028333333332266,3.2302371666666665,3367.4166666666515,0.9166666666666666
med_nocol_yessp_2,exp1,straight_path,med,12,1285.916666666651,380.2827795525558,1.285916666666651,2.7886570833333333,2927.4166666667466,1.0
med_nocol_yessp_3,exp1,straight_path,med,12,1380.666666666798,468.51570912507856,1.380666666666798,3.2804786666666668,3412.5833333332594,1.0
med_nocol_yessp_4,exp1,straight_path,med,12,1229.2499999999884,334.32676584988354,1.2292499999999886,3.2495748333333334,3388.000000000034,1.0
med_yescol_nosp_1,exp1,no_straight_path,med,12,2522.5833333332444,2089.417337586354,2.5225833333332446,3.18568675,3326.0000000000505,0.75
med_yescol_nosp_2,exp1,no_straight_path,med,12,2989.9166666667156,2144.5362905568163,2.9899166666667156,3.565547,3701.333333333366,0.4166666666666667
med_yescol_nosp_3,exp1,no_straight_path,med,12,2400.9166666666224,1268.4769291149855,2.4009166666666224,3.4431931666666666,3581.7500000000377,0.9166666666666666
med_yescol_nosp_4,exp1,no_straight_path,med,12,2617.833333333318,2605.400294958492,2.617833333333318,4.229086916666667,4370.83333333336,0.6666666666666666
med_yescol_yessp_1,exp1,straight_path,med,12,1349.749999999967,453.09303178757045,1.3497499999999671,2.8849300833333333,3025.333333333265,0.9166666666666666
med_yescol_yessp_2,exp1,straight_path,med,12,1533.333333333426,801.9535617175596,1.5333333333334263,2.841120666666667,2978.4166666667697,1.0
med_yescol_yessp_3,exp1,straight_path,med,12,1494.6666666666886,614.2740480116252,1.4946666666666886,3.04024375,3178.083333333428,0.9166666666666666
med_yescol_yessp_4,exp1,straight_path,med,12,1395.2500000000234,605.4173804455194,1.3952500000000232,3.01330525,3153.6666666666424,1.0
scene_1_0,exp2,straight_path,other,12,1273.4999999999654,397.2053510579835,1.2734999999999654,1.0171233333333334,1153.833333333305,1.0
scene_1_1,exp2,straight_path,other,12,1207.249999999983,479.6159685339268,1.207249999999983,1.1628468333333333,1300.9166666666517,1.0
scene_1_10,exp2,straight_path,other,12,1508.7499999999447,461.1541105057775,1.5087499999999447,2.4710500833333335,2608.583333333276,1.0
scene_1_11,exp2,straight_path,other,12,1977.6666666665697,827.5274599490243,1.9776666666665694,2.57496775,2712.9166666667,1.0
scene_1_12,exp2,no_straight_path,other,12,2096.083333333278,1202.2067934603986,2.096083333333278,2.6958059166666666,2839.833333333236,0.75
scene_1_13,exp2,no_straight_path,other,12,2382.0833333333935,1061.0438649430632,2.382083333333393,2.808786083333333,2946.0833333333435,0.6666666666666666
scene_1_14,exp2,no_straight_path,other,12,2124.0000000000286,855.1039277612414,2.1240000000000285,2.946258333333333,3083.166666666742,0.5
scene_1_15,exp2,no_straight_path,other,12,1994.9166666665833,868.2323168718315,1.9949166666665832,3.066038583333333,3206.6666666665783,0.5
scene_1_16,exp2,no_straight_path,other,12,2066.9999999998886,1098.159203560042,2.0669999999998887,3.19690425,3337.999999999956,0.4166666666666667
scene_1_17,exp2,no_straight_path,other,12,2382.166666666744,1605.584053083263,2.3821666666667434,3.355847666666667,3487.166666666752,0.5
scene_1_18,exp2,no_straight_path,other,12,1701.3333333333567,882.9611680262559,1.7013333333333567,3.292350666666666,3315.500000000062,0.5
scene_1_19,exp2,no_straight_path,other,12,2124.9166666666783,982.7131698733776,2.124916666666678,3.1734646666666664,3296.0833333332953,0.5
scene_1_2,exp2,straight_path,other,12,1483.9999999999616,765.4684840017794,1.4839999999999616,1.33057525,1464.6666666666733,1.0
scene_1_20,exp2,no_straight_path,other,12,2286.7499999999836,1172.506571022424,2.2867499999999836,3.1136464999999998,3240.7499999999914,0.5
scene_1_21,exp2,no_straight_path,other,12,2812.833333333287,1914.5893855214515,2.8128333333332876,3.08468375,3222.583333333309,0.6666666666666666
scene_1_22,exp2,no_straight_path,other,12,3298.583333333288,2124.8058503109296,3.2985833333332883,3.3213743333333334,3297.249999999925,0.6666666666666666
scene_1_23,exp2,no_straight_path,other,12,2336.2500000000164,1282.5558378771275,2.336250000000016,3.965789583333333,4106.583333333333,0.75
scene_1_24,exp2,no_straight_path,other,12,2179.2499999999295,818.0357988387797,2.17924999999993,4.092603333333333,4230.9166666667015,0.8333333333333334
