scene_name,simulation_time,true_hit,rnn_pred_step,rnn_hit,rnn_correct,rnn_path_eff,true_path_eff,straight_path
high_nocol_nosp_1,379,0,328,0,1,0.8010449682341622,0.6478152810506912,0
high_nocol_nosp_2,448,0,424,0,1,0.7833225845667383,0.6505114067522472,0
high_nocol_nosp_3,361,0,323,0,1,0.9061364153064426,0.7471675500756271,0
high_nocol_nosp_4,416,0,392,0,1,0.9341545826731475,0.7563290982175056,0
high_nocol_yessp_1,397,0,352,0,1,0.985803683467327,0.9950658147883441,1
high_nocol_yessp_2,397,0,352,0,1,0.9858285227201484,0.9950658147883441,1
high_nocol_yessp_3,480,0,401,0,1,0.7111501736383989,0.9630874464213436,1
high_nocol_yessp_4,395,0,356,0,1,0.9562481403840294,0.9923452576494673,1
high_yescol_nosp_1,425,1,624,0,0,0.7750076900310937,0.6765529376973907,0
high_yescol_nosp_2,366,1,309,1,1,0.7736337426520455,0.757466474798005,0
high_yescol_nosp_3,437,1,310,1,1,0.8420329270528519,0.648885885455058,0
high_yescol_nosp_4,440,0,656,1,0,0.7462317863571588,0.7052159650334023,0
high_yescol_yessp_1,347,1,269,1,1,0.9535262181436809,0.9983838185552593,1
high_yescol_yessp_2,389,1,346,1,1,0.9764111608482264,0.9611458183705863,1
high_yescol_yessp_3,398,1,314,1,1,0.9447330418300144,0.9801496577861754,1
high_yescol_yessp_4,458,1,371,1,1,0.6837107288138249,0.9931524532499455,1
low_nocol_nosp_1,155,0,89,0,1,0.9870852765358726,0.9492693482839009,0
low_nocol_nosp_2,142,0,83,0,1,0.7413041277610585,0.9966113031210743,0
low_nocol_nosp_3,139,0,76,0,1,0.9592632908631175,1.0,1
low_nocol_nosp_4,173,0,174,0,1,0.9282285779825589,0.8720245436101144,0
low_nocol_yessp_1,149,0,86,0,1,0.9733292179199167,1.0,1
low_nocol_yessp_2,107,0,42,0,1,0.8242350241734624,1.0,1
low_nocol_yessp_3,129,0,67,0,1,0.914136095406263,1.0,1
low_nocol_yessp_4,114,0,47,0,1,0.9974414132186886,1.0,1
low_yescol_nosp_1,170,1,102,1,1,0.8970762723862544,0.9175601401613286,0
low_yescol_nosp_2,178,1,127,1,1,0.8609612643022557,0.8938048006866253,0
low_yescol_nosp_3,173,1,106,1,1,0.8997152852340904,0.8428129708526121,0
low_yescol_nosp_4,107,1,103,1,1,0.8885754180305331,0.9502069843228536,0
low_yescol_yessp_1,148,1,90,1,1,0.9785529167699695,1.0,1
low_yescol_yessp_2,127,1,93,1,1,0.9517132565267499,1.0,1
low_yescol_yessp_3,135,1,105,1,1,0.8332797785946342,1.0,1
low_yescol_yessp_4,79,1,25,1,1,0.8522770473909023,1.0,1
med_nocol_nosp_1,315,0,435,0,1,0.8972117069175222,0.8815946529043845,0
med_nocol_nosp_2,247,0,183,0,1,0.9710190989676419,0.9596751206460192,0
med_nocol_nosp_3,297,0,248,0,1,0.7988885932847101,0.8041048991498967,0
med_nocol_nosp_4,245,0,211,0,1,0.9274063714718106,0.9477681003062558,0
med_nocol_yessp_1,242,0,180,0,1,0.9983536688472482,1.0,1
med_nocol_yessp_2,216,0,150,0,1,0.9930696461548106,1.0,1
med_nocol_yessp_3,245,0,214,0,1,0.9872030917988913,1.0,1
med_nocol_yessp_4,243,0,178,0,1,0.9808810924447533,1.0,1
med_yescol_nosp_1,243,1,183,1,1,0.9360909194804895,0.9359530896886877,0
med_yescol_nosp_2,266,1,212,1,1,0.9390025037765425,0.9458958640714302,0
med_yescol_nosp_3,253,1,212,1,1,0.8641695086969956,0.8836486201017691,0
med_yescol_nosp_4,312,1,255,1,1,0.8574157536677705,0.8527105775810595,0
med_yescol_yessp_1,221,1,160,1,1,0.9981993162312685,1.0,1
med_yescol_yessp_2,220,1,162,1,1,0.9883254741992463,1.0,1
med_yescol_yessp_3,232,1,174,1,1,0.9995206729661116,1.0,1
med_yescol_yessp_4,229,1,170,1,1,0.9982629473432821,1.0,1
scene_1_0,110,1,48,1,1,0.9987989957911902,1.0,1
scene_1_1,119,1,57,1,1,0.9938321709591295,1.0,1
scene_1_10,198,1,135,1,1,0.9966750088961875,1.0,1
scene_1_11,204,1,142,1,1,0.9993331335809182,0.9999999999999998,1
scene_1_12,211,1,153,1,1,0.9978593707358562,0.973250504336332,0
scene_1_13,217,1,232,1,1,0.9462638441251195,0.917662712768158,0
scene_1_14,225,1,202,1,1,0.9035381946765866,0.8528910080565483,0
scene_1_15,231,1,173,1,1,0.853426045897667,0.8196667514118556,0
scene_1_16,238,1,178,1,1,0.825691068771431,0.7926080570827759,0
scene_1_17,246,1,185,1,1,0.8066629029357003,0.7757144191368792,0
scene_1_18,243,1,320,0,0,0.8398510410585044,0.7821552188978085,0
scene_1_19,238,1,215,1,1,0.754273689603874,0.7925160223749812,0
scene_1_2,129,1,67,1,1,0.9983227482681908,1.0,1
scene_1_20,243,1,179,1,1,0.8038899446377337,0.77936116655372,0
scene_1_21,276,1,187,1,1,0.7961015754363526,0.7240705557395057,0
scene_1_22,284,1,247,1,1,0.7430928721963966,0.7044185823355837,0
scene_1_23,297,1,248,1,1,0.771056332225141,0.6834016375116053,0
scene_1_24,307,1,243,1,1,0.7671384685489037,0.6803722700281014,0
scene_1_25,318,1,303,1,1,0.8080925899504734,0.6806312930375044,0
scene_1_26,327,1,281,1,1,0.7445100391995625,0.6853068493960897,0
scene_1_27,337,1,281,1,1,0.7558039737624874,0.6908636119285559,0
scene_1_28,347,1,294,1,1,0.7526676006413567,0.7006177791257532,0
scene_1_3,137,1,76,1,1,0.9975183215879393,1.0,1
scene_1_4,146,1,83,1,1,0.9676611038435996,1.0,1
scene_1_5,155,1,93,1,1,0.998980858927769,1.0,1
scene_1_6,164,1,102,1,1,0.9901474597427712,1.0,1
scene_1_7,173,1,166,1,1,0.9423523922304041,1.0,1
scene_1_8,181,1,119,1,1,0.99978836331236,1.0,1
scene_1_9,190,1,244,1,1,0.9528024206298573,1.0,1
scene_2_0,105,1,46,1,1,0.9970978342957364,1.0,1
scene_2_1,111,1,55,1,1,0.8944571368839217,1.0,1
scene_2_10,154,1,93,1,1,0.9991478631964931,1.0,1
scene_2_11,159,1,98,1,1,0.9990044337989067,1.0,1
scene_2_12,164,1,102,1,1,0.999678425006808,1.0,1
scene_2_13,168,1,109,1,1,0.9993472471113684,1.0,1
scene_2_14,172,1,111,1,1,0.9982852403319148,1.0,1
scene_2_15,177,1,116,1,1,0.9915747230732679,1.0,1
scene_2_16,182,1,121,1,1,0.9916584337584958,1.0,1
scene_2_17,187,1,127,1,1,0.9997889767498501,1.0,1
