N,D,E,Noise,mse
20,280,0.5,0.0,4.775761165091794
20,280,0.5,0.1,0.3578512491392818
20,280,0.5,0.2,0.0030215823042301
20,280,0.6,0.0,0.5484248332514756
20,280,0.6,0.1,0.3422998364030754
20,280,0.6,0.2,0.0286530974467194
20,280,0.7,0.0,4.967052426148007
20,280,0.7,0.1,0.1200953421510391
20,280,0.7,0.2,0.0056478239533497
20,280,0.8,0.0,0.569742891377123
20,280,0.8,0.1,0.4601648255641475
20,280,0.8,0.2,0.0944391569409557
20,280,0.9,0.0,0.5668460187479862
20,280,0.9,0.1,0.4823648012474599
20,280,0.9,0.2,0.07010260971178
20,281,0.5,0.0,4.993982912742666
20,281,0.5,0.1,0.2668913763069511
20,281,0.5,0.2,0.0116489772351258
20,281,0.6,0.0,4.866918447075578
20,281,0.6,0.1,0.1599150481597178
20,281,0.6,0.2,0.0187803516939712
20,281,0.7,0.0,0.5701438095306379
20,281,0.7,0.1,0.2772853826706871
20,281,0.7,0.2,0.0080537854328319
20,281,0.8,0.0,0.5566588672452539
20,281,0.8,0.1,0.3056891828967707
20,281,0.8,0.2,0.0940347644344044
20,281,0.9,0.0,0.5609057197469429
20,281,0.9,0.1,0.2645124050912297
20,281,0.9,0.2,0.0504326408693369
21,280,0.5,0.0,0.1692616077867352
21,280,0.5,0.1,0.1146380565408513
21,280,0.5,0.2,0.0561157842642376
21,280,0.6,0.0,0.1714899440076358
21,280,0.6,0.1,0.1587548839966128
21,280,0.6,0.2,0.0796079927670891
21,280,0.7,0.0,0.1711618310334763
21,280,0.7,0.1,0.0695181015621404
21,280,0.7,0.2,0.1114365779113129
21,280,0.8,0.0,0.1631210924133714
21,280,0.8,0.1,0.0867156649838829
21,280,0.8,0.2,0.0789516091372295
21,280,0.9,0.0,0.1618086222365384
21,280,0.9,0.1,0.0638793327449249
21,280,0.9,0.2,0.0822534894874369
21,281,0.5,0.0,0.1721057328013362
21,281,0.5,0.1,0.0839966755463006
21,281,0.5,0.2,0.0860387643328675
21,281,0.6,0.0,0.1721057328013362
21,281,0.6,0.1,0.1926736451997861
21,281,0.6,0.2,0.0683949885327468
21,281,0.7,0.0,0.1721057328013362
21,281,0.7,0.1,0.0824371153984913
21,281,0.7,0.2,0.0808903191741752
21,281,0.8,0.0,0.1721057328013362
21,281,0.8,0.1,0.0385194422639276
21,281,0.8,0.2,0.2378671082069186
21,281,0.9,0.0,0.1669122181501503
21,281,0.9,0.1,0.1166133758136922
21,281,0.9,0.2,0.0204634793552465
140,130,0.5,0.0,4.697676629404455
140,130,0.5,0.1,4.067913272649623
140,130,0.5,0.2,1.2434719357019954
140,130,0.6,0.0,5.155374354476882
140,130,0.6,0.1,4.1426328111598485
140,130,0.6,0.2,1.1208126033881172
140,130,0.7,0.0,4.8073644215798526
140,130,0.7,0.1,3.1404063627194585
140,130,0.7,0.2,0.86378309558431
140,130,0.8,0.0,5.198875677238859
140,130,0.8,0.1,3.829394821944338
140,130,0.8,0.2,1.6684813682275532
140,130,0.9,0.0,5.456356132735299
140,130,0.9,0.1,3.0261430990719558
140,130,0.9,0.2,0.6562146309486483
140,131,0.5,0.0,4.927610193913744
140,131,0.5,0.1,4.001364126327191
140,131,0.5,0.2,0.9831431619613048
140,131,0.6,0.0,5.379844593744613
140,131,0.6,0.1,3.518789139529807
140,131,0.6,0.2,1.272398271039867
140,131,0.7,0.0,5.169045708957836
140,131,0.7,0.1,3.859600935646398
140,131,0.7,0.2,1.031551766607448
140,131,0.8,0.0,5.341087482599908
140,131,0.8,0.1,4.228855259855019
140,131,0.8,0.2,1.09223701552526
140,131,0.9,0.0,5.495323006733492
140,131,0.9,0.1,3.267170518830129
140,131,0.9,0.2,1.3244768904202946
141,130,0.5,0.0,1.9617559863508929
141,130,0.5,0.1,3.054008587678574
141,130,0.5,0.2,1.1404479786414985
141,130,0.6,0.0,1.9968993263195165
141,130,0.6,0.1,4.180432168781269
141,130,0.6,0.2,1.254074439042398
141,130,0.7,0.0,1.9046640387293632
141,130,0.7,0.1,3.571105982461771
141,130,0.7,0.2,1.1263983875808703
141,130,0.8,0.0,1.977608336378056
141,130,0.8,0.1,4.214420616179702
141,130,0.8,0.2,1.1351258608885928
141,130,0.9,0.0,2.0871184109621286
141,130,0.9,0.1,4.177228701009164
141,130,0.9,0.2,1.4465002989938842
141,131,0.5,0.0,2.410314448389986
141,131,0.5,0.1,4.23634165804491
141,131,0.5,0.2,1.7282357798325343
141,131,0.6,0.0,2.349864318517298
141,131,0.6,0.1,3.5358231401213382
141,131,0.6,0.2,1.266865038596217
141,131,0.7,0.0,2.254844596172852
141,131,0.7,0.1,4.324095171033923
141,131,0.7,0.2,2.0737693767030407
141,131,0.8,0.0,2.219704464945421
141,131,0.8,0.1,3.8999123425244537
141,131,0.8,0.2,1.1080811619168358
141,131,0.9,0.0,2.360429458463392
141,131,0.9,0.1,3.311195546686296
141,131,0.9,0.2,0.9724816393321216
48,398,0.5,0.0,1.268011367779696
48,398,0.5,0.1,0.98118650218667
48,398,0.5,0.2,0.0022005291537769
48,398,0.6,0.0,6.431339685160693
48,398,0.6,0.1,0.8328883531019482
48,398,0.6,0.2,0.0075659296620127
48,398,0.7,0.0,6.624276487528414
48,398,0.7,0.1,0.9443255136714032
48,398,0.7,0.2,0.0011705902099503
48,398,0.8,0.0,1.3104273449762331
48,398,0.8,0.1,0.8631574881274524
48,398,0.8,0.2,0.1591790999527695
48,398,0.9,0.0,1.298249423920474
48,398,0.9,0.1,0.8914962134615383
48,398,0.9,0.2,4.051672561899977e-06
48,399,0.5,0.0,1.3042447221718805
48,399,0.5,0.1,0.8322691805143698
48,399,0.5,0.2,0.0165186282160529
48,399,0.6,0.0,1.2700943800059026
48,399,0.6,0.1,0.9318322443306944
48,399,0.6,0.2,0.0110373653145252
48,399,0.7,0.0,1.2755559495120128
48,399,0.7,0.1,0.8448852209367157
48,399,0.7,0.2,0.0137537352360137
48,399,0.8,0.0,1.36131674056511
48,399,0.8,0.1,0.739505602417875
48,399,0.8,0.2,0.0246537542287601
48,399,0.9,0.0,1.3208139408305524
48,399,0.9,0.1,0.729882883276769
48,399,0.9,0.2,0.0349536691821974
49,398,0.5,0.0,5.993929607776663
49,398,0.5,0.1,1.3747146568744064
49,398,0.5,0.2,0.0261700515135778
49,398,0.6,0.0,5.993929607776663
49,398,0.6,0.1,0.952702925044118
49,398,0.6,0.2,0.117455749391949
